cylinder cad 35 quads, 0 tris, 2 n-gons
cylinder default 16 quads, 0 tris, 2 n-gons
box cad 6 quads, 0 tris, 0 n-gons
box default 6 quads, 0 tris, 0 n-gons
cone cad 0 quads, 38 tris, 1 n-gons
cone default 0 quads, 16 tris, 1 n-gons
sphere cad 16 quads, 32 tris, 0 n-gons
sphere default 16 quads, 32 tris, 0 n-gons
torus cad 96 quads, 0 tris, 0 n-gons
torus default 96 quads, 0 tris, 0 n-gons
extrusion cad 6 quads, 0 tris, 0 n-gons
extrusion default 6 quads, 0 tris, 0 n-gons
canrev cad 569 quads, 0 tris, 3 n-gons
canrev default 48 quads, 0 tris, 2 n-gons
bspline_slab cad 82 quads, 0 tris, 0 n-gons
bspline_slab default 6 quads, 0 tris, 0 n-gons
bezier_slab cad 82 quads, 0 tris, 0 n-gons
bezier_slab default 6 quads, 0 tris, 0 n-gons
bezier_face cad 30 quads, 0 tris, 0 n-gons
bezier_face default 1 quads, 0 tris, 0 n-gons
offset_slab cad 96 quads, 0 tris, 0 n-gons
offset_slab default 6 quads, 0 tris, 0 n-gons
ellipse_plate cad 32 quads, 0 tris, 4 n-gons
ellipse_plate default 16 quads, 0 tris, 8 n-gons
parabola_plate cad 22 quads, 0 tris, 3 n-gons
parabola_plate default 4 quads, 0 tris, 1 n-gons
hyperbola_plate cad 19 quads, 0 tris, 2 n-gons
hyperbola_plate default 5 quads, 0 tris, 2 n-gons
bezier_curve cad 25 quads, 0 tris, 2 n-gons
bezier_curve default 7 quads, 0 tris, 2 n-gons
bspline_curve cad 33 quads, 0 tris, 2 n-gons
bspline_curve default 7 quads, 0 tris, 2 n-gons
offset_curve cad 22 quads, 0 tris, 2 n-gons
offset_curve default 6 quads, 0 tris, 2 n-gons
rev_wire cad 6 quads, 0 tris, 0 n-gons
rev_wire default 6 quads, 0 tris, 0 n-gons
unequal_rims cad 6 quads, 0 tris, 0 n-gons
unequal_rims default 6 quads, 0 tris, 0 n-gons
fillet cad 7 quads, 0 tris, 2 n-gons
fillet default 7 quads, 0 tris, 2 n-gons
microedge cad 5 quads, 0 tris, 2 n-gons
microedge default 5 quads, 0 tris, 2 n-gons
hole cad 84 quads, 0 tris, 4 n-gons
hole default 20 quads, 0 tris, 2 n-gons
plate_holes cad 44 quads, 0 tris, 6 n-gons
plate_holes default 32 quads, 0 tris, 10 n-gons
slotted cad 352 quads, 200 tris, 8 n-gons
slotted default 240 quads, 176 tris, 0 n-gons
barrel cad 122 quads, 0 tris, 26 n-gons
barrel default 60 quads, 0 tris, 10 n-gons
barrel2 cad 441 quads, 380 tris, 75 n-gons
barrel2 default 322 quads, 992 tris, 10 n-gons
drilled cad 92 quads, 4 tris, 14 n-gons
drilled default 56 quads, 0 tris, 10 n-gons
notched cad 88 quads, 0 tris, 10 n-gons
notched default 46 quads, 0 tris, 6 n-gons
boss cad 53 quads, 0 tris, 5 n-gons
boss default 15 quads, 0 tris, 3 n-gons
bossfillet cad 131 quads, 0 tris, 5 n-gons
